 -------------------------------- -------- -------- ------ ------------------------------------- 
  Name                             Method   Scheme   Host   Path                                 
 -------------------------------- -------- -------- ------ ------------------------------------- 
  _wdt                             ANY      ANY      ANY    /_wdt/{token}                        
  _profiler_home                   ANY      ANY      ANY    /_profiler/                          
  _profiler_search                 ANY      ANY      ANY    /_profiler/search                    
  _profiler_search_bar             ANY      ANY      ANY    /_profiler/search_bar                
  _profiler_phpinfo                ANY      ANY      ANY    /_profiler/phpinfo                   
  _profiler_search_results         ANY      ANY      ANY    /_profiler/{token}/search/results    
  _profiler_open_file              ANY      ANY      ANY    /_profiler/open                      
  _profiler                        ANY      ANY      ANY    /_profiler/{token}                   
  _profiler_router                 ANY      ANY      ANY    /_profiler/{token}/router            
  _profiler_exception              ANY      ANY      ANY    /_profiler/{token}/exception         
  _profiler_exception_css          ANY      ANY      ANY    /_profiler/{token}/exception.css     
  _twig_error_test                 ANY      ANY      ANY    /_error/{code}.{_format}             
  homepage                         ANY      ANY      ANY    /                                    
  api_entrypoint                   ANY      ANY      ANY    /api/{index}.{_format}               
  api_doc                          ANY      ANY      ANY    /api/docs.{_format}                  
  api_graphql_entrypoint           ANY      ANY      ANY    /api/graphql                         
  api_jsonld_context               ANY      ANY      ANY    /api/contexts/{shortName}.{_format}  
  api_categories_get_collection    GET      ANY      ANY    /api/categories.{_format}            
  api_categories_post_collection   POST     ANY      ANY    /api/categories.{_format}            
  api_categories_get_item          GET      ANY      ANY    /api/categories/{id}.{_format}       
  api_categories_delete_item       DELETE   ANY      ANY    /api/categories/{id}.{_format}       
  api_categories_put_item          PUT      ANY      ANY    /api/categories/{id}.{_format}       
  api_products_get_collection      GET      ANY      ANY    /api/products.{_format}              
  api_products_post_collection     POST     ANY      ANY    /api/products.{_format}              
  api_products_get_item            GET      ANY      ANY    /api/products/{id}.{_format}         
  api_products_delete_item         DELETE   ANY      ANY    /api/products/{id}.{_format}         
  api_products_put_item            PUT      ANY      ANY    /api/products/{id}.{_format}         
 -------------------------------- -------- -------- ------ ------------------------------------- 

